
13 Aug 2021 - 10:35:44;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 32ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 649 Bytes;Download: 591 Bytes
13 Aug 2021 - 10:35:46;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 339ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 588 Bytes;Download: 440 Bytes
13 Aug 2021 - 10:35:47;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 168ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 658 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:35:48;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 168ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 658 Bytes;Download: 521 Bytes
13 Aug 2021 - 10:35:50;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 165ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 1.21 KB;Download: 960 Bytes
13 Aug 2021 - 10:35:50;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 165ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 1.21 KB;Download: 960 Bytes
13 Aug 2021 - 10:35:51;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 83ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 53% used;Upload: 1.21 KB;Download: 963 Bytes
13 Aug 2021 - 10:35:51;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 48ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 52% used;Upload: 1.21 KB;Download: 963 Bytes
13 Aug 2021 - 10:35:53;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 44ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 706 Bytes;Download: 769 Bytes
13 Aug 2021 - 10:35:54;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 66ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 52% used;Upload: 658 Bytes;Download: 443 Bytes
13 Aug 2021 - 10:35:55;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 103ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 53% used;Upload: 656 Bytes;Download: 520 Bytes
13 Aug 2021 - 10:35:58;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 52% used;Upload: 5.45 KB;Download: 778 Bytes
13 Aug 2021 - 10:35:59;Windows 10 Pro;Int IP: 192.168.134.128;Ping thread went in error;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 53% used;Upload: 1.28 KB;Download: 1.14 KB
