22 Jul 2021 - 19:16:27;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 77% used;Upload: 1.67 KB;Download: 5.96 KB
22 Jul 2021 - 19:16:28;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 76% used;Upload: 9.73 KB;Download: 581.85 KB
22 Jul 2021 - 19:16:29;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 3.01 KB;Download: 6.02 KB
22 Jul 2021 - 19:16:30;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 6.16 KB;Download: 346.06 KB
22 Jul 2021 - 19:16:31;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 2.90 KB;Download: 11.51 KB
22 Jul 2021 - 19:16:32;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 1.36 KB;Download: 6.14 KB
22 Jul 2021 - 19:16:33;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 1.29 KB;Download: 5.54 KB
22 Jul 2021 - 19:16:34;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 8.43 KB;Download: 353.07 KB
22 Jul 2021 - 19:16:35;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 77% used;Upload: 1.51 KB;Download: 5.83 KB
22 Jul 2021 - 19:16:36;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 46ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 77% used;Upload: 23.12 KB;Download: 1.70 MB
22 Jul 2021 - 19:16:37;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 4.78 KB;Download: 303.03 KB
22 Jul 2021 - 19:16:38;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 1.35 KB;Download: 5.64 KB
22 Jul 2021 - 19:16:39;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 77% used;Upload: 4.63 KB;Download: 87.99 KB
22 Jul 2021 - 19:16:40;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 5.73 KB;Download: 313.56 KB
22 Jul 2021 - 19:16:41;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 6% used;RAM: 77% used;Upload: 1.29 KB;Download: 5.53 KB
22 Jul 2021 - 19:16:42;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 1.44 KB;Download: 5.73 KB
22 Jul 2021 - 19:16:43;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 3.24 KB;Download: 6.20 KB
22 Jul 2021 - 19:16:44;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 34ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 5.20 KB;Download: 161.41 KB
22 Jul 2021 - 19:16:45;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 4% used;RAM: 77% used;Upload: 6.62 KB;Download: 243.18 KB
22 Jul 2021 - 19:16:46;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 28ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 77% used;Upload: 7.56 KB;Download: 289.02 KB
22 Jul 2021 - 19:16:47;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 5% used;RAM: 77% used;Upload: 7.28 KB;Download: 354.31 KB
22 Jul 2021 - 19:16:48;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 2% used;RAM: 77% used;Upload: 1.48 KB;Download: 5.64 KB
22 Jul 2021 - 19:16:49;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 1% used;RAM: 77% used;Upload: 5.03 KB;Download: 283.36 KB
22 Jul 2021 - 19:16:50;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 9% used;RAM: 77% used;Upload: 4.20 KB;Download: 84.80 KB
22 Jul 2021 - 19:16:51;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 25ms;CPU: Disabled;GPU: Disabled;CPU: 8% used;RAM: 77% used;Upload: 1.34 KB;Download: 5.62 KB
22 Jul 2021 - 19:16:52;Windows 10 Pro;Int IP: 192.168.134.128;Ping: 26ms;CPU: Disabled;GPU: Disabled;CPU: 3% used;RAM: 77% used;Upload: 1.21 KB;Download: 5.71 KB
